department,year,capacity,percentage_women,percentage_men,valedictorian,ranking,akdeniz,dogu_anadolu,ege,guneydogu_adolu,ic_anadolu,karadeniz,marmara,number_of_applications
Chemical_Eng,2018,82,,,,81839,,,,,,,,1533
Chemical_Eng,2019,82,63.4,36.6,3,65566,13,0,14,1,28,3,23,1510
Chemical_Eng,2020,82,68.3,31.7,2,61408,12,1,9,2,29,5,24,2037
Chemical_Eng,2021,82,63.4,36.6,2,57675,10,0,10,2,32,9,19,1999
Chemical_Eng,2022,72,59.8,40.2,2,50290,12,2,15,1,35,6,11,2242
Chemical_Eng,2023,52,61.1,38.9,3,40836,14,0,8,1,27,13,9,2355
Chemical_Eng,2024,52,53.8,46.2,4,35349,6,1,6,0,23,5,11,1928
Mining_Eng,2018,62,,,,,,,,,,,,552
Mining_Eng,2019,62,27.4,72.6,0,174106,5,3,7,1,39,1,6,542
Mining_Eng,2020,62,22.6,77.4,1,164100,6,1,7,2,38,2,6,661
Mining_Eng,2021,62,33.9,66.1,0,173048,5,2,8,2,34,5,6,553
Mining_Eng,2022,62,21,79,1,165110,2,2,6,3,36,8,5,602
Mining_Eng,2023,52,26.9,73.1,0,140039,4,2,2,1,32,7,4,647
Mining_Eng,2024,41,29.3,70.7,1,120472,4,1,5,1,22,7,1,633
Geology_Eng,2018,52,,,,242699,,,,,,,,415
Geology_Eng,2019,52,34.6,65.4,0,257579,3,1,1,0,37,4,6,354
Geology_Eng,2020,52,46.2,53.8,0,251358,1,1,4,1,36,2,7,365
Geology_Eng,2021,52,38.5,61.5,0,240855,0,1,6,2,33,5,5,377
Geology_Eng,2022,52,44.2,55.8,0,224396,2,1,2,1,37,3,5,457
Geology_Eng,2023,52,51.9,48.1,1,185042,3,0,5,2,35,0,7,778
Geology_Eng,2024,31,41.9,58.1,0,148204,3,1,0,1,17,2,7,612
Geomatic_Eng,2018,62,,,,114039,,,,,,,,551
Geomatic_Eng,2019,62,37.1,62.9,1,128444,4,0,3,1,44,7,3,411
Geomatic_Eng,2020,62,50,50,0,131545,5,1,4,0,38,7,7,390
Geomatic_Eng,2021,62,41.9,58.1,1,184983,4,2,4,3,42,2,5,254
Geomatic_Eng,2022,62,43.6,56.5,0,178185,3,0,4,2,39,4,10,468
Geomatic_Eng,2023,52,53.9,46.2,2,150389,3,0,4,0,35,3,7,625
Geomatic_Eng,2024,52,42.3,57.7,2,137188,2,3,3,1,34,3,6,737
Enviromental_Eng,2018,62,,,,125146,,,,,,,,760
Enviromental_Eng,2019,72,63.9,36.1,0,147103,7,2,5,1,47,3,7,652
Enviromental_Eng,2020,72,77.8,22.2,0,142818,4,0,3,0,47,6,12,852
Enviromental_Eng,2021,72,66.7,33.7,1,152431,5,0,4,1,47,7,8,676
Enviromental_Eng,2022,72,75,25,1,139163,4,0,6,1,46,3,12,844
Enviromental_Eng,2023,72,70.8,29.2,2,118160,5,0,4,0,50,3,8,802
Enviromental_Eng,2024,54,68.5,31.5,2,104706,4,1,4,1,37,4,3,755
Industrial_Eng,2018,62,,,,39254,,,,,,,,2391
Industrial_Eng,2019,72,55.6,44.4,2,31108,12,0,10,1,37,5,7,1545
Industrial_Eng,2020,72,54.2,45.8,2,30300,9,1,12,0,30,7,13,2063
Industrial_Eng,2021,72,43.1,56.9,2,28683,10,1,6,2,35,5,13,1906
Industrial_Eng,2022,72,51.4,48.6,2,20727,8,2,7,1,26,15,13,2389
Industrial_Eng,2023,72,44.4,55.6,2,14501,14,1,10,2,24,10,11,2227
Industrial_Eng,2024,77,53.2,46.8,2,13255,15,1,7,0,40,8,6,1956
AI_Eng,2018,,,,,,,,,,,,,
AI_Eng,2019,31,16.1,83.9,2,13439,7,1,6,0,10,1,6,9792
AI_Eng,2020,31,6.5,93.5,1,8836,2,1,9,0,14,3,2,1980
AI_Eng,2021,41,12.2,87.8,1,8004,7,2,5,2,8,8,9,1078
AI_Eng,2022,41,26.8,73.2,1,5735,4,2,9,0,16,4,6,1321
AI_Eng,2023,41,34.1,65.9,1,4574,8,3,6,0,15,7,2,1292
AI_Eng,2024,47,19.1,80.9,2,6066,8,3,7,2,16,6,5,1223
Hydrogeology_Eng,2018,44,,,,,,,,,,,,233
Hydrogeology_Eng,2019,47,42.9,57.1,2,296443,2,0,0,0,16,2,1,107
Hydrogeology_Eng,2020,41,52.2,47.8,1,298627,1,0,1,0,15,1,5,64
Hydrogeology_Eng,2021,31,48.3,51.7,1,295037,3,1,4,0,17,1,3,108
Hydrogeology_Eng,2022,31,38.7,61.3,1,278231,3,2,2,0,20,2,2,127
Hydrogeology_Eng,2023,31,22.6,77.4,1,223758,2,0,2,0,21,2,4,411
Hydrogeology_Eng,2024,26,34.6,65.4,1,189471,0,0,2,0,21,2,1,400
Physics_Eng,2018,82,,,,207456,,,,,,,,452
Physics_Eng,2019,82,51.2,48.8,2,199357,9,4,6,2,39,4,18,513
Physics_Eng,2020,82,43.9,56.1,2,171979,10,5,9,1,34,2,21,580
Physics_Eng,2021,82,45.1,54.9,2,155828,7,2,5,3,28,8,29,625
Physics_Eng,2022,82,37.8,62.2,2,128652,14,4,8,2,34,4,15,728
Physics_Eng,2023,62,46.8,53.2,2,85874,1,3,4,3,27,9,15,1108
Physics_Eng,2024,67,40.3,59.7,2,74813,4,2,6,1,27,3,24,1031
Computer_Eng,2018,105,,,,17555,,,,,,,,5345
Computer_Eng,2019,103,18.5,81.6,3,11743,9,1,14,3,53,10,13,3534
Computer_Eng,2020,103,18.4,81.6,3,7208,14,2,14,1,44,14,14,3776
Computer_Eng,2021,108,20.4,79.6,3,5248,8,3,17,5,46,14,15,3192
Computer_Eng,2022,108,13.9,86.1,3,3576,15,6,18,5,40,11,13,3918
Computer_Eng,2023,115,16.1,83.9,3,3388,21,3,14,7,42,22,9,2480
Computer_Eng,2024,123,16.3,83.7,3,4377,13,4,22,8,42,14,20,2702
Mechanical_Eng,2018,62,,,,29422,,,,,,,,3963
Mechanical_Eng,2019,72,6.9,93.1,2,28520,6,1,8,0,48,5,4,1622
Mechanical_Eng,2020,82,22,78,3,27949,7,3,8,2,52,6,4,1584
Mechanical_Eng,2021,82,17.1,82.9,2,29512,9,0,11,2,26,9,5,1218
Mechanical_Eng,2022,82,12.2,87.8,3,23706,9,1,12,0,44,5,11,1558
Mechanical_Eng,2023,82,9.8,90.2,5,17947,11,0,9,0,49,5,8,1546
Mechanical_Eng,2024,88,15.9,84.1,5,15819,12,2,12,2,46,8,6,1640
Electrical_Electronic_Eng,2018,105,,,,25708,,,,,,,,3812
Electrical_Electronic_Eng,2019,103,20.4,79.6,6,16067,15,0,5,0,69,4,10,2180
Electrical_Electronic_Eng,2020,103,18.5,81.6,5,12454,7,2,9,1,72,2,10,2181
Electrical_Electronic_Eng,2021,103,18.5,81.6,5,11657,8,2,8,2,64,7,12,1647
Electrical_Electronic_Eng,2022,103,17.5,82.5,4,8078,6,3,14,0,58,12,10,2033
Electrical_Electronic_Eng,2023,103,22.3,77.7,6,6838,9,2,14,2,61,4,11,1942
Electrical_Electronic_Eng,2024,103,22.3,77.7,7,6310,9,2,14,2,61,4,11,1942
Food_Eng,2018,82,,,,189964,,,,,,,,1408
Food_Eng,2019,82,80.5,19.5,1,118323,8,1,6,0,49,9,9,927
Food_Eng,2020,82,62.4,36.6,2,114530,7,0,6,0,49,3,17,1347
Food_Eng,2021,82,81.7,18.3,2,125744,2,1,6,1,51,3,18,939
Food_Eng,2022,82,79.3,20.7,2,115515,14,1,8,0,43,7,9,1285
Food_Eng,2023,62,77.4,22.6,3,93963,10,0,4,1,34,4,9,1135
Food_Eng,2024,52,84.6,15.4,2,91258,6,2,6,1,26,5,6,979
Nuclear_Energy_Eng,2018,62,,,,196200,,,,,,,,1215
Nuclear_Energy_Eng,2019,62,37.1,62.9,2,97024,9,1,8,2,26,8,8,949
Nuclear_Energy_Eng,2020,62,25.8,74.2,2,92142,10,4,4,4,28,3,9,830
Nuclear_Energy_Eng,2021,62,30.7,69.4,3,97747,5,5,3,3,25,6,15,731
Nuclear_Energy_Eng,2022,62,32.3,67.7,2,86946,13,2,3,0,30,5,9,1046
Nuclear_Energy_Eng,2023,52,30.8,69.2,3,65782,6,2,6,0,29,3,6,1295
Nuclear_Energy_Eng,2024,57,40.4,59.6,2,58558,9,2,3,1,25,8,9,1100
Civi_Eng,2018,62,,,,57204,,,,,,,,1769
Civi_Eng,2019,72,19.4,80.6,2,78444,3,5,3,0,53,4,4,475
Civi_Eng,2020,72,18.1,81.9,2,77347,5,5,5,0,46,6,5,1445
Civi_Eng,2021,82,18.3,81.7,2,92077,5,4,5,1,55,7,5,823
Civi_Eng,2022,82,28.1,72,2,87061,3,2,6,2,65,2,2,1181
Civi_Eng,2023,52,23.1,76.9,2,76051,4,4,5,4,32,3,0,1184
Civi_Eng,2024,52,13.5,86.5,3,70821,5,1,2,3,39,1,1,1139